Vivado Simulator 2020.2
Time resolution is 1 ps
[DRV] reset done
           104255000: [GEN_RANDOM] tx_byte = 0a, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 03, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = df, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = e3, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 59, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 00, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = b0, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 93, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 8e, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = e6, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = ed, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 4e, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 71, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = e9, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 3c, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 23, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 28, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 61, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = d3, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = dc, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = c7, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 1e, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 33, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 3f, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = ec, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 53, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 41, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = d4, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = cd, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = e5, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 33, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 39, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 93, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = f2, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 4e, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = af, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 1f, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = a7, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 0b, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = eb, rx_byte = 00
           104255000: [GEN_RANDOM] tx_byte = 0a, rx_byte = 00
